iter	RMSE
0	1.770767727
1	1.759642841
2	1.748769705
3	1.738593878
4	1.729909798
5	1.721045532
6	1.708138584
7	1.698187262
8	1.685579409
9	1.678200439
10	1.667851434
11	1.65489242
12	1.643849387
13	1.63356176
14	1.623933348
15	1.616371969
16	1.603229617
17	1.595546811
18	1.587488504
19	1.577227145
20	1.566399606
21	1.556699258
22	1.545835017
23	1.53615538
24	1.526242497
25	1.515834015
26	1.503323529
27	1.495827553
28	1.483085448
29	1.470688521
30	1.461886306
31	1.452529131
32	1.445200799
33	1.437863533
34	1.43046822
35	1.420358638
36	1.413079274
37	1.406401009
38	1.396741092
39	1.388874929
40	1.382995777
41	1.37341676
42	1.364944085
43	1.35711151
44	1.349544115
45	1.342376982
46	1.333773498
47	1.32586853
48	1.319842824
49	1.313006896
50	1.307022521
51	1.300114383
52	1.293242406
53	1.286809462
54	1.279797932
55	1.270548635
56	1.261821033
57	1.25470637
58	1.246383093
59	1.240010796
60	1.23307247
61	1.227020627
62	1.216573798
63	1.211143797
64	1.202619622
65	1.192188356
66	1.185030431
67	1.177951051
68	1.169115417
69	1.161534294
70	1.155631559
71	1.149296782
72	1.143941116
73	1.138905146
74	1.132266396
75	1.125060404
76	1.119571024
77	1.11231863
78	1.105481499
79	1.099149552
80	1.093507874
81	1.08644863
82	1.082216811
83	1.075880189
84	1.07015289
85	1.061682858
86	1.057510322
87	1.051890045
88	1.047101695
89	1.039920975
90	1.032614541
91	1.025923985
92	1.020359435
93	1.014978062
94	1.008850558
95	1.004473795
96	0.9993801784
97	0.9933789639
98	0.9883746753
99	0.9819495497
100	0.9755025743
101	0.9692942422
102	0.9629390457
103	0.9583450678
104	0.9535398763
105	0.9478120263
106	0.9438943995
107	0.939785549
108	0.9340424302
109	0.9294440353
110	0.9236648349
111	0.9190825165
112	0.91261328
113	0.9080762976
114	0.9012136706
115	0.8969196985
116	0.8921187674
117	0.8877859273
118	0.882991912
119	0.8787791056
120	0.8742135388
121	0.8679690344
122	0.8637221939
123	0.8594537984
124	0.8543942493
125	0.8504520216
126	0.8451320995
127	0.8402198675
128	0.8361030756
129	0.8318448745
130	0.826825353
131	0.8236479929
132	0.8196033884
133	0.8159050155
134	0.8120119583
135	0.8080140491
136	0.8042375896
137	0.8003153582
138	0.7952977242
139	0.792211489
140	0.7885276356
141	0.7836247476
142	0.7787099196
143	0.7754292267
144	0.7717197459
145	0.767101719
146	0.7636622299
147	0.7591081465
148	0.7552572896
149	0.7516878963
150	0.7480771624
151	0.7444562964
152	0.7410695253
153	0.7367258652
154	0.7314305886
155	0.7274663091
156	0.7231104482
157	0.7188839118
158	0.7142793895
159	0.7098923731
160	0.7056891149
161	0.7021204761
162	0.6978824736
163	0.6953371119
164	0.6924785888
165	0.6889212426
166	0.6848641054
167	0.6816073616
168	0.6773625144
169	0.6741666369
170	0.6702149184
171	0.6672653237
172	0.6634315765
173	0.6603738463
174	0.6574940241
175	0.6546482176
176	0.651547441
177	0.6476702086
178	0.6440363352
179	0.6410746346
180	0.6382340447
181	0.6345751534
182	0.6307499502
183	0.6268797547
184	0.6239578036
185	0.6208751693
186	0.6182201384
187	0.6147810461
188	0.6104786193
189	0.6076303454
190	0.6041447298
191	0.6012551711
192	0.5986573093
193	0.5953102431
194	0.5923364772
195	0.5887732115
196	0.5860397706
197	0.5826462664
198	0.5797271983
199	0.5770769315
200	0.5743947694
201	0.5708103637
202	0.5681701706
203	0.5648490513
204	0.5620292599
205	0.5595050057
206	0.5553006816
207	0.5523432089
208	0.5492198166
209	0.5467420256
210	0.5441712763
211	0.5409477142
212	0.5383723273
213	0.5360406098
214	0.5330217598
215	0.5301762304
216	0.5271211153
217	0.5241230549
218	0.520755914
219	0.5182664261
220	0.5152195995
221	0.5120883213
222	0.5089817119
223	0.5067464518
224	0.5037521876
225	0.5016160128
226	0.498557795
227	0.4954142393
228	0.4931633991
229	0.4902908752
230	0.4881766985
231	0.4855258501
232	0.4831997099
233	0.4810743771
234	0.4784674299
235	0.4757833766
236	0.4728924915
237	0.4705317655
238	0.467689958
239	0.465095705
240	0.4622709702
241	0.4599471962
242	0.4574503281
243	0.4553853606
244	0.4529431869
245	0.4501947143
246	0.4476507395
247	0.4451586283
248	0.4432903951
249	0.4407816726
250	0.4387494816
251	0.4363467608
252	0.4342679711
253	0.4318123086
254	0.4292152265
255	0.4268579084
256	0.4242464974
257	0.4218838306
258	0.4194831402
259	0.4171870294
260	0.4148875243
261	0.4127836831
262	0.4106273055
263	0.4084190614
264	0.4061754835
265	0.4040714434
266	0.4018875054
267	0.4000426313
268	0.3978673013
269	0.3958447439
270	0.3935156119
271	0.3917170681
272	0.3896039575
273	0.3875063363
274	0.3855915532
275	0.3833797
276	0.381267237
277	0.3790776521
278	0.3770568312
279	0.375116524
280	0.3730339111
281	0.3708546824
282	0.3687859235
283	0.3666755841
284	0.3646362701
285	0.3626135486
286	0.3606455394
287	0.3590273795
288	0.3570677738
289	0.3552602283
290	0.3533014145
291	0.3515551113
292	0.3496526535
293	0.3477228145
294	0.3457008331
295	0.3438149254
296	0.3418699541
297	0.340058655
298	0.3381801087
299	0.3362686843
300	0.3344657547
301	0.3326112591
302	0.3308283406
303	0.3289696449
304	0.3273341179
305	0.3256101207
306	0.3238610267
307	0.3220012347
308	0.3202304419
309	0.3186333726
310	0.3169135175
311	0.3152127855
312	0.3134261775
313	0.3115139923
314	0.3099614571
315	0.3083158869
316	0.3066401098
317	0.3049070999
318	0.3032523181
319	0.3017176909
320	0.3000693998
321	0.2984516349
322	0.2969772172
323	0.295324956
324	0.2935760435
325	0.2920036504
326	0.2905407924
327	0.2889037606
328	0.287471438
329	0.2859034366
330	0.2844061476
331	0.2828292279
332	0.2811549777
333	0.2794914395
334	0.2781161107
335	0.2765489924
336	0.2750775995
337	0.2735436837
338	0.2720915092
339	0.2706318376
340	0.2690986814
341	0.2675233446
342	0.2659644535
343	0.2644137117
344	0.2630044787
345	0.2615212604
346	0.2599298411
347	0.2583951934
348	0.2570450992
349	0.255669357
350	0.2542651694
351	0.252939305
352	0.2517108815
353	0.2502423372
354	0.2488637211
355	0.2473974727
356	0.2461094932
357	0.2446578271
358	0.2433662193
359	0.2420306192
360	0.2405619496
361	0.2393113048
362	0.2380586943
363	0.2366557822
364	0.235261802
365	0.233954519
366	0.2327410711
367	0.2315353593
368	0.2301723196
369	0.2288179477
370	0.2276340916
371	0.2264577565
372	0.225125989
373	0.2239640462
374	0.2226546167
375	0.2213537003
376	0.2200530899
377	0.2188917977
378	0.2177144586
379	0.2165926548
380	0.2153230798
381	0.2140616073
382	0.2128097356
383	0.2115661261
