iter	Passed	Remaining
0	3	3687
1	4	2356
2	6	2102
3	11	2846
4	12	2530
5	15	2629
6	17	2490
7	18	2284
8	19	2123
9	19	1953
10	20	1834
11	20	1715
12	23	1749
13	24	1753
14	26	1750
15	28	1757
16	29	1730
17	31	1714
18	32	1696
19	34	1686
20	36	1694
21	37	1687
22	39	1657
23	40	1643
24	41	1610
25	42	1595
26	43	1562
27	44	1546
28	45	1511
29	46	1513
30	49	1555
31	51	1552
32	52	1545
33	59	1688
34	67	1852
35	69	1853
36	75	1974
37	86	2185
38	91	2255
39	93	2248
40	96	2254
41	98	2244
42	99	2209
43	100	2192
44	105	2247
45	110	2285
46	113	2300
47	115	2287
48	119	2324
49	123	2353
50	128	2382
51	129	2363
52	130	2324
53	134	2362
54	136	2343
55	137	2325
56	141	2342
57	143	2330
58	144	2309
59	147	2303
60	149	2294
61	149	2269
62	155	2314
63	157	2298
64	162	2334
65	166	2351
66	169	2353
67	170	2338
68	175	2362
69	177	2358
70	181	2370
71	183	2359
72	183	2330
73	184	2304
74	186	2294
75	189	2301
76	192	2301
77	193	2289
78	197	2303
79	199	2288
80	200	2275
81	201	2259
82	203	2248
83	205	2240
84	206	2227
85	207	2208
86	208	2191
87	211	2190
88	213	2186
89	214	2170
90	217	2170
91	218	2153
92	221	2160
93	224	2161
94	225	2146
95	225	2127
96	226	2111
97	228	2098
98	231	2111
99	233	2101
100	234	2090
101	237	2091
102	239	2082
103	239	2067
104	241	2056
105	242	2044
106	246	2054
107	248	2049
108	249	2035
109	253	2048
110	254	2040
111	255	2028
112	257	2020
113	260	2023
114	261	2009
115	262	2001
116	265	2000
117	267	2000
118	268	1989
119	270	1980
120	275	1998
121	276	1989
122	279	1990
123	280	1980
124	280	1966
125	281	1955
126	283	1948
127	287	1958
128	288	1950
129	289	1937
130	290	1928
131	291	1916
132	294	1920
133	296	1913
134	296	1901
135	297	1892
136	300	1892
137	301	1885
138	302	1874
139	303	1863
140	304	1853
141	304	1842
142	306	1836
143	309	1840
144	310	1831
145	311	1824
146	312	1812
147	314	1812
148	316	1807
149	317	1797
150	317	1787
151	318	1777
152	319	1768
153	320	1759
154	322	1757
155	323	1747
156	323	1737
157	324	1727
158	324	1717
159	325	1707
160	325	1697
161	326	1689
162	327	1682
163	328	1673
164	329	1664
165	329	1655
166	330	1647
167	330	1637
168	331	1628
169	331	1619
170	332	1610
171	332	1600
172	333	1593
173	334	1588
174	335	1582
175	336	1574
176	337	1567
177	337	1558
178	338	1550
179	338	1542
180	339	1534
181	339	1527
182	340	1520
183	341	1514
184	342	1507
185	343	1501
186	343	1493
187	343	1485
188	344	1478
189	345	1471
190	345	1463
191	346	1457
192	346	1449
193	347	1443
194	349	1441
195	350	1437
196	350	1430
197	351	1423
198	351	1416
199	352	1409
200	352	1402
201	353	1395
202	353	1388
203	353	1381
204	354	1374
205	355	1369
206	356	1364
207	357	1359
208	357	1353
209	358	1347
210	358	1340
211	359	1334
212	359	1328
213	359	1321
214	360	1315
215	360	1309
216	361	1302
217	363	1305
218	365	1301
219	365	1296
220	365	1290
221	366	1284
222	366	1278
223	367	1272
224	368	1267
225	368	1261
226	369	1256
227	369	1252
228	370	1248
229	371	1244
230	372	1238
231	372	1233
232	373	1227
233	373	1222
234	373	1217
235	374	1212
236	375	1208
237	375	1203
238	376	1199
239	377	1195
240	378	1192
241	379	1187
242	379	1182
243	379	1177
244	380	1172
245	380	1167
246	381	1163
247	381	1158
248	382	1153
249	382	1148
250	383	1144
251	384	1140
252	385	1138
253	386	1134
254	386	1129
255	386	1124
256	389	1124
257	389	1120
258	390	1115
259	390	1111
260	391	1107
261	392	1104
262	393	1101
263	393	1097
264	394	1093
265	394	1088
266	394	1084
267	395	1080
268	395	1076
269	396	1071
270	396	1067
271	397	1063
272	397	1058
273	398	1055
274	399	1052
275	400	1049
276	400	1046
277	401	1042
278	401	1038
279	402	1035
280	403	1031
281	403	1027
282	404	1023
283	404	1020
284	405	1016
285	406	1014
286	408	1014
287	408	1010
288	409	1007
289	410	1004
290	410	1000
291	411	996
292	411	993
293	412	989
294	413	987
295	414	984
296	415	983
297	416	980
298	417	978
299	417	975
300	418	971
301	418	968
302	419	964
303	420	962
304	421	961
305	423	959
306	423	956
307	424	953
308	424	950
309	425	946
310	425	943
311	426	940
312	427	937
313	428	936
314	429	933
315	429	930
316	430	927
317	431	924
318	431	921
319	432	918
320	432	914
321	432	911
322	433	907
323	433	904
324	433	901
325	434	898
326	435	896
327	436	894
328	437	891
329	437	888
330	438	885
331	438	882
332	439	880
333	439	877
334	440	874
335	441	871
336	441	868
337	442	867
338	443	864
339	444	862
340	444	859
341	445	856
342	445	853
343	446	850
344	446	847
345	447	844
346	447	842
347	448	839
348	450	840
349	451	837
350	451	835
351	452	832
352	452	829
353	453	826
354	453	824
355	453	821
356	454	818
357	455	816
358	457	817
359	459	816
360	459	813
361	460	811
362	460	808
363	461	806
364	461	803
365	462	800
366	462	798
367	464	796
368	465	796
369	466	793
370	466	791
371	467	788
372	467	785
373	467	783
374	468	780
375	468	778
376	469	775
377	469	773
378	470	771
379	472	770
380	472	768
381	473	765
382	473	763
383	474	761
384	474	758
385	475	756
386	475	753
387	476	751
388	476	749
389	477	747
390	478	745
